el,en
3D,τρισδιάστατο
a,ένα
aardvark,ορυκτερόπους
abaca,αβάκα
aback,προς τα πίσω
abactor,ζωοκλέφτης
abacus,αβάκιο
abaft,πρυμναίος
abalone,είδος γαστρόποδου
abandon,εγκαταλείπω
abandoned,έκθετος
abandonment,εγκατάλειψη
abase,ταπεινώνω
abash,φέρνω σε δύσκολη θέση
abate,κοπάζω
abatement,ελάττωση
abattoir,σφαγείο
abbacy,ηγουμενία
abbatial,ηγουμενικός
abbess,ηγουμένη
abbey,μονή
abbot,ηγόυμενος
abbotship,ηγουμενία
abbreviate,συντομεύω
abbreviated,συντομευμένος
abdicate,παραιτούμαι από το θρόνο
abdomen,στομάχι
abdominal,κοιλιακός
abdominal cavity,κοιλιακή χώρα
abduct,απάγω
abeam,εγκάρσια
abed,στο κρεβάτι
aberrant,παρεκκλίνων
aberrate,αποκλίνω
aberration,παρέκκλιση
abet,υποβοηθώ
abetted,υποβοηθούμενος
abetting,υποβοήθηση
abettor,υποκινητής
abeyance,εκκρεμότητα
abeyant,εκκρεμής
abhor,σιχαίνομαι
abhorred,απεχθής
abhorrent,απεχθής
abide,εμμένω
abiding,διαρκής
abilities,ικανότητες
ability,ικανότητα
a bit,λιγάκι
a bitter argument,έντονη λογομαχία
abject,άθλιος
abjure,αποκηρύσσω
ablate,αφαιρώ
ablation,αποκόμιση
ablative,αφαιρετική
ablaze,φλεγόμενος
able,ικανός
ablution,νίψιμο
ably,ικανά
abnegation,αποκήρυξη
abnormal,ανώμαλος
abnormally,ανώμαλα
aboard,στο τρένο
abode,κατοικία
abolish,καταργώ
abolition,κατάργηση
abominable,απεχθής
abominate,απεχθάνομαι
abomination,απέχθεια
aboriginal,γηγενής
aborigine,ιθαγενής
abort,αποβάλλω
abortion,έκτρωση
abortionist,κάποιος που κάνει εκτρώσεις
abortive,άκαρπος
abound,αφθονώ
about,περί
above,άνω
above all,πάνω απ'όλα
aboveboard,καθαρός
aboveground,που βρίσκεται πάνω από την γη
abovementioned,άνω αναφερόμενος
above your head,πάνω από το κεφάλι σου
abrade,τρίβω
abrasion,απόξεση
abrasion resistance,αντοχή στην τριβή
abrasive,τριπτικός
a breach in the walls,ρήγμα στα τείχη
a breach of the peace,διατάραξη κοινής ησυχίας
abreact,απελευθερώνω με ψυχανάλυση
abreast,παράπλευρα
a breeze got up,σηκώθηκε ένα αεράκι
abridge,συντομεύω
abridgment,σύντμηση
abroad,στο εξωτερικό
abrogate,ανακαλώ
abrup,απότομος
abrupt,κοφτός
abruptly,κοφτά
abscission,αποκοπή
abseiling,κατάβαση γκρεμού με σχοινιά
absence,απουσία
absent,απών
absentminded,αφηρημένος
absent minded,αφηρημένος
absinthe,άψινθος
absolute,απόλυτος
absolutely,απολύτως
absolutely necessary,επιβαλλόμενος
absolute zero,απόλυτο μηδέν
absolution,άφεση
absolve,απαλλάσσω
absorb,απορροφώ
